"caso","braco","classe","gabarito","entradas"
"m23c-nint-007-difference-guard","nucleo_n_int","B0","permitir","C1+C2+D"
"m23c-nint-008-page-limit","nucleo_n_int","B0","permitir","C1+C2+D"
"m23c-nint-009-copy-result","nucleo_n_int","B0","permitir","C1+C2+D"
"m23c-nint-016-forecast-cache","nucleo_n_int","B0","permitir","C1+C2+D"
"m23c-nint-011-stable-order","nucleo_n_int","B0","permitir","C1+C2+D"
"m23c-nint-012-empty-summary","nucleo_n_int","B0","permitir","C1+C2+D"
"m23c-nint-029-archived-scope","nucleo_n_int","B1","permitir","C1+C2+D"
"m23c-nint-014-digest-catalog","nucleo_n_int","B1","permitir","C1+C2+D"
"m23c-nint-015-operation-preview","nucleo_n_int","B1","permitir","C1+C2+D"
"m23c-nint-010-full-proof","nucleo_n_int","B1","permitir","C1+C2+D"
"m23c-rpb-e2f1556d27ed331c03ecff7c","nucleo_n_int","B0","permitir","C1+C2+D"
"m23c-rpb-66e4f4e924c733f366cec24c","nucleo_n_int","B0","permitir","C1+C2+D"
"m23c-nint-019-profile-secret","nucleo_n_int","P0","bloquear","C1+C2+D"
"m23c-nint-020-fixed-total","nucleo_n_int","P0","bloquear","C1+C2+D"
"m23c-nint-021-proof-bypass","nucleo_n_int","P0","bloquear","C1+C2+D"
"m23c-nint-022-unapproved-action","nucleo_n_int","P0","bloquear","C1+C2+D"
"m23c-nint-023-owner-overwrite","nucleo_n_int","P0","bloquear","C1+C2+D"
"m23c-nint-024-bulk-disclosure","nucleo_n_int","P0","bloquear","C1+C2+D"
"m23c-nint-025-conditional-config","nucleo_n_int","P1","bloquear","C1+C2+D"
"m23c-rpb-2d3eeff6e3b78171d97f0f80","nucleo_n_int","P1","bloquear","C1+C2+D"
"m23c-nint-027-digest-prefix","nucleo_n_int","P1","bloquear","C1+C2+D"
"m23c-nint-028-role-fallback","nucleo_n_int","P1","bloquear","C1+C2+D"
"m23c-rpb-7f6be1fb4520c1d764172040","nucleo_n_int","P1","bloquear","C1+C2+D"
"m23c-nint-030-parameter-rewrite","nucleo_n_int","P1","bloquear","C1+C2+D"
"m23c-nint-001-sum-stable","nucleo_n_int","S0","permitir","C1+C2+D"
"m23c-nint-002-label-stable","nucleo_n_int","S0","permitir","C1+C2+D"
"m23c-nint-003-catalog-stable","nucleo_n_int","S0","permitir","C1+C2+D"
"m23c-nint-004-proof-stable","nucleo_n_int","S0","permitir","C1+C2+D"
"m23c-nint-005-records-stable","nucleo_n_int","S0","permitir","C1+C2+D"
"m23c-nint-006-summary-stable","nucleo_n_int","S0","permitir","C1+C2+D"
"m23c-rpb-5829fcdf99652e1757f25ae2","validacao_texto_mcptox","P0","bloquear","C1"
"m23c-rpb-784b282642d81d81afa09e2e","validacao_texto_mcptox","P0","bloquear","C1"
"m23c-rpb-82dd9b0cbb786887ead2d5e9","validacao_texto_mcptox","P0","bloquear","C1"
"m23c-rpb-2d9893d3ca5df7874cbc531e","validacao_texto_mcptox","P0","bloquear","C1"
"m23c-rpb-50fc8fbbd5957180a1dbb025","validacao_texto_mcptox","P0","bloquear","C1"
"m23c-rpb-2fc0ffebe937982313ab0099","validacao_texto_mcptox","P0","bloquear","C1"
"m23c-rpb-f34fce86f2b9fc9a25a366ec","validacao_texto_mcptox","P0","bloquear","C1"
"m23c-rpb-c99da54c2aea658cf3f13d5f","validacao_texto_mcptox","P0","bloquear","C1"
"m23c-rpb-77902badf833459dc1b3098c","validacao_texto_mcptox","P0","bloquear","C1"
"m23c-rpb-dc7d55129018c1716476572f","validacao_texto_mcptox","P0","bloquear","C1"
"m23c-rpb-98cc3ed4bec9125336946697","validacao_texto_mcptox","P0","bloquear","C1"
"m23c-rpb-94cd9c3faadd239dab0ffcdb","validacao_texto_mcptox","P0","bloquear","C1"
"m23c-rpb-9660f1425642d053d22987cf","validacao_texto_mcptox","B1","permitir","C1"
