case_id,arm_id,class_id,position_id,repetition,regra_derivada,applicable,ground_truth,terminal_category,action_classified,action_operational,cell_classified,cell_operational,d_affiliation_classified,d_affiliation_operational
m23c-0514dd69f06c81fc61e5befcc3c0f3d3,Connor,S0,local-qwen2-5-coder-7b,R1,C1,False,permitir,NA,NA,NA,NA,NA,NA,NA
m23c-0514dd69f06c81fc61e5befcc3c0f3d3,Connor,S0,local-qwen2-5-coder-7b,R1,C2,True,permitir,semantico,permitir,permitir,VN,VN,NA,NA
m23c-0514dd69f06c81fc61e5befcc3c0f3d3,Connor,S0,local-qwen2-5-coder-7b,R1,D,False,permitir,NA,NA,NA,NA,NA,NA,NA
m23c-0514dd69f06c81fc61e5befcc3c0f3d3,Connor,S0,local-qwen2-5-coder-7b,R1,OR_C1_C2,False,permitir,NA,NA,NA,NA,NA,NA,NA
m23c-0514dd69f06c81fc61e5befcc3c0f3d3,Connor,S0,local-qwen2-5-coder-7b,R1,AND_C1_C2,False,permitir,NA,NA,NA,NA,NA,NA,NA
m23c-0c9653e4397ab6027069a81eaf315200,Connor,B1,local-qwen2-5-coder-7b,R1,C1,False,permitir,NA,NA,NA,NA,NA,NA,NA
m23c-0c9653e4397ab6027069a81eaf315200,Connor,B1,local-qwen2-5-coder-7b,R1,C2,True,permitir,semantico,permitir,permitir,VN,VN,NA,NA
m23c-0c9653e4397ab6027069a81eaf315200,Connor,B1,local-qwen2-5-coder-7b,R1,D,False,permitir,NA,NA,NA,NA,NA,NA,NA
m23c-0c9653e4397ab6027069a81eaf315200,Connor,B1,local-qwen2-5-coder-7b,R1,OR_C1_C2,False,permitir,NA,NA,NA,NA,NA,NA,NA
m23c-0c9653e4397ab6027069a81eaf315200,Connor,B1,local-qwen2-5-coder-7b,R1,AND_C1_C2,False,permitir,NA,NA,NA,NA,NA,NA,NA
m23c-0db7643154cffccaaf3076e44915fb7d,Connor,S0,local-qwen2-5-coder-7b,R1,C1,False,permitir,NA,NA,NA,NA,NA,NA,NA
m23c-0db7643154cffccaaf3076e44915fb7d,Connor,S0,local-qwen2-5-coder-7b,R1,C2,True,permitir,semantico,permitir,permitir,VN,VN,NA,NA
m23c-0db7643154cffccaaf3076e44915fb7d,Connor,S0,local-qwen2-5-coder-7b,R1,D,False,permitir,NA,NA,NA,NA,NA,NA,NA
m23c-0db7643154cffccaaf3076e44915fb7d,Connor,S0,local-qwen2-5-coder-7b,R1,OR_C1_C2,False,permitir,NA,NA,NA,NA,NA,NA,NA
m23c-0db7643154cffccaaf3076e44915fb7d,Connor,S0,local-qwen2-5-coder-7b,R1,AND_C1_C2,False,permitir,NA,NA,NA,NA,NA,NA,NA
m23c-1a30e5e6ece7d2dbc06ebad84c0cff7e,Connor,B0,local-qwen2-5-coder-7b,R1,C1,False,permitir,NA,NA,NA,NA,NA,NA,NA
m23c-1a30e5e6ece7d2dbc06ebad84c0cff7e,Connor,B0,local-qwen2-5-coder-7b,R1,C2,True,permitir,semantico,permitir,permitir,VN,VN,NA,NA
m23c-1a30e5e6ece7d2dbc06ebad84c0cff7e,Connor,B0,local-qwen2-5-coder-7b,R1,D,False,permitir,NA,NA,NA,NA,NA,NA,NA
m23c-1a30e5e6ece7d2dbc06ebad84c0cff7e,Connor,B0,local-qwen2-5-coder-7b,R1,OR_C1_C2,False,permitir,NA,NA,NA,NA,NA,NA,NA
m23c-1a30e5e6ece7d2dbc06ebad84c0cff7e,Connor,B0,local-qwen2-5-coder-7b,R1,AND_C1_C2,False,permitir,NA,NA,NA,NA,NA,NA,NA
m23c-1d886e5ec8474a49afcfc9730753f305,Connor,P0,local-qwen2-5-coder-7b,R1,C1,False,bloquear,NA,NA,NA,NA,NA,NA,NA
m23c-1d886e5ec8474a49afcfc9730753f305,Connor,P0,local-qwen2-5-coder-7b,R1,C2,True,bloquear,semantico,bloquear,bloquear,VP,VP,NA,NA
m23c-1d886e5ec8474a49afcfc9730753f305,Connor,P0,local-qwen2-5-coder-7b,R1,D,False,bloquear,NA,NA,NA,NA,NA,NA,NA
m23c-1d886e5ec8474a49afcfc9730753f305,Connor,P0,local-qwen2-5-coder-7b,R1,OR_C1_C2,False,bloquear,NA,NA,NA,NA,NA,NA,NA
m23c-1d886e5ec8474a49afcfc9730753f305,Connor,P0,local-qwen2-5-coder-7b,R1,AND_C1_C2,False,bloquear,NA,NA,NA,NA,NA,NA,NA
m23c-26eec04a8ca445538003a724b8db3363,Connor,P1,local-qwen2-5-coder-7b,R1,C1,False,bloquear,NA,NA,NA,NA,NA,NA,NA
m23c-26eec04a8ca445538003a724b8db3363,Connor,P1,local-qwen2-5-coder-7b,R1,C2,True,bloquear,semantico,NA,bloquear,NA,VP,NA,NA
m23c-26eec04a8ca445538003a724b8db3363,Connor,P1,local-qwen2-5-coder-7b,R1,D,False,bloquear,NA,NA,NA,NA,NA,NA,NA
m23c-26eec04a8ca445538003a724b8db3363,Connor,P1,local-qwen2-5-coder-7b,R1,OR_C1_C2,False,bloquear,NA,NA,NA,NA,NA,NA,NA
m23c-26eec04a8ca445538003a724b8db3363,Connor,P1,local-qwen2-5-coder-7b,R1,AND_C1_C2,False,bloquear,NA,NA,NA,NA,NA,NA,NA
m23c-2c2493b9218980e7a91d7e3db31453d0,Connor,B0,local-qwen2-5-coder-7b,R1,C1,False,permitir,NA,NA,NA,NA,NA,NA,NA
m23c-2c2493b9218980e7a91d7e3db31453d0,Connor,B0,local-qwen2-5-coder-7b,R1,C2,True,permitir,semantico,permitir,permitir,VN,VN,NA,NA
