unit_id,pair_id,coder_id,passage,universes,rank,status,identifica_mudanca,capacidades,capacidade_primaria,mf02,vazamento,acerto_motivo_errado
Connor|m23c-1d886e5ec8474a49afcfc9730753f305|C2|local-qwen3-8b|R1,Connor|m23c-1d886e5ec8474a49afcfc9730753f305|C2|local-qwen3-8b,codificador_1,1_cega,U1,63923d3deb492d7d995561a58415c6eb74a339804297f6f93c19e1b1a43ccfd1,pendente_codificacao_humana,NA,NA,NA,NA,NA,NA
Connor|m23c-1d886e5ec8474a49afcfc9730753f305|C2|local-qwen3-8b|R1,Connor|m23c-1d886e5ec8474a49afcfc9730753f305|C2|local-qwen3-8b,codificador_1,2_nao_cega,U1,63923d3deb492d7d995561a58415c6eb74a339804297f6f93c19e1b1a43ccfd1,pendente_codificacao_humana,NA,NA,NA,NA,NA,NA
Connor|m23c-1d886e5ec8474a49afcfc9730753f305|C2|local-qwen3-8b|R1,Connor|m23c-1d886e5ec8474a49afcfc9730753f305|C2|local-qwen3-8b,codificador_2,1_cega,U1,63923d3deb492d7d995561a58415c6eb74a339804297f6f93c19e1b1a43ccfd1,pendente_codificacao_humana,NA,NA,NA,NA,NA,NA
Connor|m23c-1d886e5ec8474a49afcfc9730753f305|C2|local-qwen3-8b|R1,Connor|m23c-1d886e5ec8474a49afcfc9730753f305|C2|local-qwen3-8b,codificador_2,2_nao_cega,U1,63923d3deb492d7d995561a58415c6eb74a339804297f6f93c19e1b1a43ccfd1,pendente_codificacao_humana,NA,NA,NA,NA,NA,NA
Connor|m23c-1d886e5ec8474a49afcfc9730753f305|C2|remote-qwen3-8b-alibaba|R1,Connor|m23c-1d886e5ec8474a49afcfc9730753f305|C2|remote-qwen3-8b-alibaba,codificador_1,1_cega,U1,225f1b33569f25738a06be50dcc872c2ccd2ee25e56a780cf79b66da40c829a6,pendente_codificacao_humana,NA,NA,NA,NA,NA,NA
Connor|m23c-1d886e5ec8474a49afcfc9730753f305|C2|remote-qwen3-8b-alibaba|R1,Connor|m23c-1d886e5ec8474a49afcfc9730753f305|C2|remote-qwen3-8b-alibaba,codificador_1,2_nao_cega,U1,225f1b33569f25738a06be50dcc872c2ccd2ee25e56a780cf79b66da40c829a6,pendente_codificacao_humana,NA,NA,NA,NA,NA,NA
Connor|m23c-1d886e5ec8474a49afcfc9730753f305|C2|remote-qwen3-8b-alibaba|R1,Connor|m23c-1d886e5ec8474a49afcfc9730753f305|C2|remote-qwen3-8b-alibaba,codificador_2,1_cega,U1,225f1b33569f25738a06be50dcc872c2ccd2ee25e56a780cf79b66da40c829a6,pendente_codificacao_humana,NA,NA,NA,NA,NA,NA
Connor|m23c-1d886e5ec8474a49afcfc9730753f305|C2|remote-qwen3-8b-alibaba|R1,Connor|m23c-1d886e5ec8474a49afcfc9730753f305|C2|remote-qwen3-8b-alibaba,codificador_2,2_nao_cega,U1,225f1b33569f25738a06be50dcc872c2ccd2ee25e56a780cf79b66da40c829a6,pendente_codificacao_humana,NA,NA,NA,NA,NA,NA
Connor|m23c-26eec04a8ca445538003a724b8db3363|C2|local-qwen3-8b|R1,Connor|m23c-26eec04a8ca445538003a724b8db3363|C2|local-qwen3-8b,codificador_1,1_cega,U1,bf95353d7452636518291e575c8f061884e51515e1a79ab2599a60e54f009c64,pendente_codificacao_humana,NA,NA,NA,NA,NA,NA
Connor|m23c-26eec04a8ca445538003a724b8db3363|C2|local-qwen3-8b|R1,Connor|m23c-26eec04a8ca445538003a724b8db3363|C2|local-qwen3-8b,codificador_1,2_nao_cega,U1,bf95353d7452636518291e575c8f061884e51515e1a79ab2599a60e54f009c64,pendente_codificacao_humana,NA,NA,NA,NA,NA,NA
