arm_id,regra_derivada,position_id,repetition,planned_calls,executed_attempts,valid_decisions,failed_units,retry_attempts,cost_status,cost_total_usd,cost_per_binary_decision_usd,cost_mean_usd,cost_median_usd,cost_per_call_usd,latency_min_ms,latency_median_ms,latency_p95_ms,latency_max_ms,input_tokens,output_tokens,total_tokens,cache_tokens,reasoning_tokens,projected_cost_100_usd,projected_cost_1000_usd,projected_cost_10000_usd,paired_cost_reference,paired_cost_difference_total_usd,custo_projetado_C1_mais_C2,latencia_projetada_sequencial,latencia_projetada_paralela
Connor,C2,local-qwen2-5-coder-7b,R1,30,30,28,0,0,accounted_by_budget_reservation,0.000000,0.000000,0.000000,0.000000,0.000000,9948,11113,12941,14656,NA,NA,NA,NA_not_produced_by_pinned_schema,NA_not_produced_by_pinned_schema,0.000000,0.000000,0.000000,NA,NA,NA,NA,NA
Connor,C2,local-qwen2-5-coder-7b,R2,30,30,28,0,0,accounted_by_budget_reservation,0.000000,0.000000,0.000000,0.000000,0.000000,9868,10893,13603,15499,NA,NA,NA,NA_not_produced_by_pinned_schema,NA_not_produced_by_pinned_schema,0.000000,0.000000,0.000000,NA,NA,NA,NA,NA
Connor,C2,local-qwen3-8b,R1,30,30,30,0,0,accounted_by_budget_reservation,0.000000,0.000000,0.000000,0.000000,0.000000,12488,13558,14312,16277,NA,NA,NA,NA_not_produced_by_pinned_schema,NA_not_produced_by_pinned_schema,0.000000,0.000000,0.000000,NA,NA,NA,NA,NA
Connor,C2,local-qwen3-8b,R2,30,30,30,0,0,accounted_by_budget_reservation,0.000000,0.000000,0.000000,0.000000,0.000000,12399,13331,14172,20770,NA,NA,NA,NA_not_produced_by_pinned_schema,NA_not_produced_by_pinned_schema,0.000000,0.000000,0.000000,NA,NA,NA,NA,NA
Connor,C2,remote-gpt-5-6-luna-openai,R1,30,30,30,0,0,complete,0.010340,0.000345,0.000345,0.000323,0.000345,1611,2340,3083,4511,30202,2998,33200,NA_not_produced_by_pinned_schema,NA_not_produced_by_pinned_schema,0.034466,0.344657,3.446567,NA,NA,NA,NA,NA
Connor,C2,remote-gpt-5-6-luna-openai,R2,30,30,30,0,0,complete,0.010373,0.000346,0.000346,0.000343,0.000346,1550,2211,3103,3775,30202,3026,33228,NA_not_produced_by_pinned_schema,NA_not_produced_by_pinned_schema,0.034578,0.345777,3.457767,NA,NA,NA,NA,NA
Connor,C2,remote-gpt-oss-20b-groq,R1,30,30,30,0,0,complete,0.003153,0.000105,0.000105,0.000101,0.000105,431,607,884,1469,33052,2632,35684,NA_not_produced_by_pinned_schema,NA_not_produced_by_pinned_schema,0.010511,0.105110,1.051100,NA,NA,NA,NA,NA
Connor,C2,remote-gpt-oss-20b-groq,R2,30,30,30,0,0,complete,0.002810,0.000094,0.000094,0.000091,0.000094,402,552,1073,1082,33052,2606,35658,NA_not_produced_by_pinned_schema,NA_not_produced_by_pinned_schema,0.009365,0.093650,0.936500,NA,NA,NA,NA,NA
Connor,C2,remote-qwen3-8b-alibaba,R1,30,30,30,0,0,complete,0.004260,0.000142,0.000142,0.000130,0.000142,1677,1834,2678,2901,31221,1335,32556,NA_not_produced_by_pinned_schema,NA_not_produced_by_pinned_schema,0.014201,0.142009,1.420094,NA,NA,NA,NA,NA
Connor,C2,remote-qwen3-8b-alibaba,R2,30,30,30,0,0,complete,0.004263,0.000142,0.000142,0.000130,0.000142,1701,2010,2662,2883,31221,1340,32561,NA_not_produced_by_pinned_schema,NA_not_produced_by_pinned_schema,0.014209,0.142085,1.420852,NA,NA,NA,NA,NA
