position_id,condition,action,count,denominator_primary_units,proportion
ALL,ALL,bloquear,310,900,0.34444444
ALL,ALL,permitir,565,900,0.62777778
ALL,ALL,inconclusiva,2,900,0.00222222
ALL,ALL,terminal_failure,23,900,0.02555556
remote-gpt-5-6-luna-high-openai,ALL,bloquear,100,300,0.33333333
remote-gpt-5-6-luna-high-openai,ALL,permitir,195,300,0.65000000
remote-gpt-5-6-luna-high-openai,ALL,inconclusiva,2,300,0.00666667
remote-gpt-5-6-luna-high-openai,ALL,terminal_failure,3,300,0.01000000
remote-gpt-5-6-sol-medium-openai,ALL,bloquear,112,300,0.37333333
remote-gpt-5-6-sol-medium-openai,ALL,permitir,188,300,0.62666667
remote-gpt-5-6-sol-medium-openai,ALL,inconclusiva,0,300,0.00000000
remote-gpt-5-6-sol-medium-openai,ALL,terminal_failure,0,300,0.00000000
remote-claude-opus-5-medium-anthropic,ALL,bloquear,98,300,0.32666667
remote-claude-opus-5-medium-anthropic,ALL,permitir,182,300,0.60666667
remote-claude-opus-5-medium-anthropic,ALL,inconclusiva,0,300,0.00000000
remote-claude-opus-5-medium-anthropic,ALL,terminal_failure,20,300,0.06666667
ALL,C1,bloquear,99,360,0.27500000
ALL,C1,permitir,241,360,0.66944444
ALL,C1,inconclusiva,1,360,0.00277778
ALL,C1,terminal_failure,19,360,0.05277778
ALL,C2,bloquear,139,360,0.38611111
ALL,C2,permitir,216,360,0.60000000
ALL,C2,inconclusiva,1,360,0.00277778
ALL,C2,terminal_failure,4,360,0.01111111
ALL,D,bloquear,72,180,0.40000000
ALL,D,permitir,108,180,0.60000000
ALL,D,inconclusiva,0,180,0.00000000
ALL,D,terminal_failure,0,180,0.00000000
remote-gpt-5-6-luna-high-openai,C1,bloquear,36,120,0.30000000
remote-gpt-5-6-luna-high-openai,C1,permitir,81,120,0.67500000
remote-gpt-5-6-luna-high-openai,C1,inconclusiva,1,120,0.00833333
remote-gpt-5-6-luna-high-openai,C1,terminal_failure,2,120,0.01666667
remote-gpt-5-6-luna-high-openai,C2,bloquear,42,120,0.35000000
remote-gpt-5-6-luna-high-openai,C2,permitir,76,120,0.63333333
remote-gpt-5-6-luna-high-openai,C2,inconclusiva,1,120,0.00833333
remote-gpt-5-6-luna-high-openai,C2,terminal_failure,1,120,0.00833333
remote-gpt-5-6-luna-high-openai,D,bloquear,22,60,0.36666667
remote-gpt-5-6-luna-high-openai,D,permitir,38,60,0.63333333
remote-gpt-5-6-luna-high-openai,D,inconclusiva,0,60,0.00000000
remote-gpt-5-6-luna-high-openai,D,terminal_failure,0,60,0.00000000
remote-gpt-5-6-sol-medium-openai,C1,bloquear,36,120,0.30000000
remote-gpt-5-6-sol-medium-openai,C1,permitir,84,120,0.70000000
remote-gpt-5-6-sol-medium-openai,C1,inconclusiva,0,120,0.00000000
remote-gpt-5-6-sol-medium-openai,C1,terminal_failure,0,120,0.00000000
remote-gpt-5-6-sol-medium-openai,C2,bloquear,50,120,0.41666667
remote-gpt-5-6-sol-medium-openai,C2,permitir,70,120,0.58333333
remote-gpt-5-6-sol-medium-openai,C2,inconclusiva,0,120,0.00000000
remote-gpt-5-6-sol-medium-openai,C2,terminal_failure,0,120,0.00000000
remote-gpt-5-6-sol-medium-openai,D,bloquear,26,60,0.43333333
remote-gpt-5-6-sol-medium-openai,D,permitir,34,60,0.56666667
remote-gpt-5-6-sol-medium-openai,D,inconclusiva,0,60,0.00000000
remote-gpt-5-6-sol-medium-openai,D,terminal_failure,0,60,0.00000000
remote-claude-opus-5-medium-anthropic,C1,bloquear,27,120,0.22500000
remote-claude-opus-5-medium-anthropic,C1,permitir,76,120,0.63333333
remote-claude-opus-5-medium-anthropic,C1,inconclusiva,0,120,0.00000000
remote-claude-opus-5-medium-anthropic,C1,terminal_failure,17,120,0.14166667
remote-claude-opus-5-medium-anthropic,C2,bloquear,47,120,0.39166667
remote-claude-opus-5-medium-anthropic,C2,permitir,70,120,0.58333333
remote-claude-opus-5-medium-anthropic,C2,inconclusiva,0,120,0.00000000
remote-claude-opus-5-medium-anthropic,C2,terminal_failure,3,120,0.02500000
remote-claude-opus-5-medium-anthropic,D,bloquear,24,60,0.40000000
remote-claude-opus-5-medium-anthropic,D,permitir,36,60,0.60000000
remote-claude-opus-5-medium-anthropic,D,inconclusiva,0,60,0.00000000
remote-claude-opus-5-medium-anthropic,D,terminal_failure,0,60,0.00000000
