position_id,condition,pairs,primary_units,valid_primary_units,terminal_failures,block_count,block_rate_all_primary,valid_pairs,r1_r2_agreements,agreement_rate_all_pairs,agreement_rate_valid_pairs,r3_diagnostics,r3_diagnostic_rate_all_pairs
ALL,ALL,450,900,877,23,310,0.34444444,436,431,0.95777778,0.98853211,5,0.01111111
remote-gpt-5-6-luna-high-openai,ALL,150,300,297,3,100,0.33333333,147,144,0.96000000,0.97959184,3,0.02000000
remote-gpt-5-6-sol-medium-openai,ALL,150,300,300,0,112,0.37333333,150,148,0.98666667,0.98666667,2,0.01333333
remote-claude-opus-5-medium-anthropic,ALL,150,300,280,20,98,0.32666667,139,139,0.92666667,1.00000000,0,0.00000000
ALL,C1,180,360,341,19,99,0.27500000,169,167,0.92777778,0.98816568,2,0.01111111
ALL,C2,180,360,356,4,139,0.38611111,177,174,0.96666667,0.98305085,3,0.01666667
ALL,D,90,180,180,0,72,0.40000000,90,90,1.00000000,1.00000000,0,0.00000000
remote-gpt-5-6-luna-high-openai,C1,60,120,118,2,36,0.30000000,58,56,0.93333333,0.96551724,2,0.03333333
remote-gpt-5-6-luna-high-openai,C2,60,120,119,1,42,0.35000000,59,58,0.96666667,0.98305085,1,0.01666667
remote-gpt-5-6-luna-high-openai,D,30,60,60,0,22,0.36666667,30,30,1.00000000,1.00000000,0,0.00000000
remote-gpt-5-6-sol-medium-openai,C1,60,120,120,0,36,0.30000000,60,60,1.00000000,1.00000000,0,0.00000000
remote-gpt-5-6-sol-medium-openai,C2,60,120,120,0,50,0.41666667,60,58,0.96666667,0.96666667,2,0.03333333
remote-gpt-5-6-sol-medium-openai,D,30,60,60,0,26,0.43333333,30,30,1.00000000,1.00000000,0,0.00000000
remote-claude-opus-5-medium-anthropic,C1,60,120,103,17,27,0.22500000,51,51,0.85000000,1.00000000,0,0.00000000
remote-claude-opus-5-medium-anthropic,C2,60,120,117,3,47,0.39166667,58,58,0.96666667,1.00000000,0,0.00000000
remote-claude-opus-5-medium-anthropic,D,30,60,60,0,24,0.40000000,30,30,1.00000000,1.00000000,0,0.00000000
